,Trained_on,Score,Model_ID,CLEAN,MIXED,MIXED_2,MIXED_3,SINGLE_LINE,DOUBLE_LINE,DIAGONAL,CROSS,WAVE,ZIG_ZAG,SCRATCH
0,CLEAN_100,CER,167,0.05008122931095557,0.45422453491638876,0.46024649736768175,0.4584020423369612,0.29866735070296946,0.5363088912504428,0.2777798136001075,0.5157267274970379,0.4685770823408699,0.42300316366790036,0.6834377710188476
1,CLEAN_100,WER,167,0.13826979472140763,0.6402737047898338,0.6455034213098729,0.6381231671554253,0.5245845552297165,0.7149560117302053,0.5186217008797654,0.7153958944281525,0.6065493646138808,0.5767350928641252,0.817644183773216
2,CLEAN_100,CER,168,0.049189539130541,0.46482709760953744,0.4694199127853714,0.46636617929080093,0.3092943432640747,0.5462884923106991,0.2794654744891104,0.5149327567884495,0.4850183834756373,0.4272173158904076,0.6958359290068037
3,CLEAN_100,WER,168,0.13450635386119258,0.6334799608993157,0.6389051808406647,0.6332355816226783,0.5308406647116325,0.7033235581622679,0.5179374389051808,0.6964320625610948,0.6101173020527859,0.5753176930596285,0.8020527859237536
4,CLEAN_100,CER,169,0.05224327262511146,0.4465291265100712,0.451720473450841,0.44930191652314116,0.3095508568776186,0.5011176664590128,0.28054038867919917,0.49857696019153014,0.48196464998106686,0.41616280064006256,0.6463532314607839
5,CLEAN_100,WER,169,0.14257086999022484,0.6242424242424243,0.6296187683284458,0.6258064516129033,0.5311339198435973,0.6859237536656891,0.5130987292277615,0.6938905180840664,0.6052297165200391,0.5628054740957967,0.7819648093841642
6,CLEAN_90,CER,132,0.0506675461419131,0.11180329070321375,0.11579757411411191,0.11543112609476346,0.06405511378211001,0.07418129405010566,0.06983277755383732,0.08439297885594928,0.1783136062149584,0.1363919528014951,0.1902964564476529
7,CLEAN_90,WER,132,0.13870967741935483,0.24780058651026393,0.2536656891495601,0.2553763440860215,0.16989247311827957,0.19144672531769305,0.183822091886608,0.21256109481915933,0.3391006842619746,0.2854838709677419,0.37434017595307917
8,CLEAN_90,CER,181,0.0514126571145883,0.11407526842317417,0.11610294746356896,0.11620066693539521,0.06588735387885228,0.07625783282641357,0.07089547680994784,0.08626186375462641,0.1762370674386505,0.13738136245373594,0.19471826254779093
9,CLEAN_90,WER,181,0.14012707722385143,0.24975562072336266,0.2557184750733138,0.2515151515151515,0.1710654936461388,0.1941348973607038,0.18778103616813294,0.21402737047898338,0.3374389051808407,0.28528836754643205,0.3741935483870968
10,CLEAN_80,CER,145,0.05143708698254486,0.09075695945863413,0.09326102092418191,0.09351753453772582,0.05936457913444978,0.06668132458744061,0.06365202096082671,0.07377820122882235,0.12922178655624367,0.10369257454163461,0.1515262560005863
11,CLEAN_80,WER,145,0.14130009775171065,0.21348973607038124,0.21656891495601174,0.21793743890518083,0.15850439882697948,0.1729227761485826,0.16925708699902248,0.18748778103616814,0.27590420332355814,0.23548387096774193,0.3118279569892473
12,CLEAN_80,CER,182,0.052194412889198336,0.0954230642383378,0.09718201473121038,0.09654683816433972,0.06043949332453858,0.06795167772118192,0.06544761625563414,0.07574480559932574,0.13732028778384453,0.11091160052279918,0.15822003982068478
13,CLEAN_80,WER,182,0.14173998044965788,0.2184261974584555,0.22453567937438906,0.22204301075268817,0.1603128054740958,0.17663734115347018,0.17355816226783968,0.19232649071358748,0.2850439882697947,0.24467253176930595,0.3208699902248289
14,CLEAN_70,CER,144,0.05071640587782623,0.0865305923021486,0.0869459000574102,0.08828954279502119,0.058130870802643314,0.06494680396252459,0.0624427424969768,0.07035801971490344,0.11787411289041982,0.09593609146542563,0.1395556207018701
15,CLEAN_70,WER,144,0.13934506353861192,0.20410557184750733,0.20606060606060606,0.20826001955034212,0.15610948191593352,0.17116324535679375,0.1658357771260997,0.17927663734115348,0.25747800586510267,0.22316715542521995,0.2917399804496579
16,CLEAN_70,CER,183,0.05078969548169592,0.08650616243419204,0.08776430063395507,0.08743449741654147,0.05778885265125142,0.06500787863241599,0.061636556854410204,0.06886779776955305,0.11737330059731027,0.0961559602770347,0.14108248744915533
17,CLEAN_70,WER,183,0.1390518084066471,0.2041544477028348,0.20791788856304985,0.20948191593352883,0.15513196480938415,0.17150537634408602,0.16695992179863148,0.1793743890518084,0.25811339198435973,0.22282502443792768,0.29266862170087976
18,CLEAN_60,CER,146,0.053342616683156825,0.08345242893962158,0.08480828661121087,0.08445405352584069,0.05787435718909939,0.06425055272576252,0.061660986722366765,0.06837920041042178,0.11033749862581993,0.09247926514957186,0.1377355955391061
19,CLEAN_60,WER,146,0.14428152492668622,0.20087976539589442,0.2047898338220919,0.20410557184750733,0.15469208211143695,0.16779081133919843,0.16515151515151516,0.1786412512218964,0.24980449657869014,0.21774193548387097,0.29007820136852397
20,CLEAN_60,CER,184,0.052939523861873526,0.08146139470116164,0.08291497184457718,0.08292718677855546,0.05784992732114283,0.06212515421354148,0.06061050240023453,0.06815933159881271,0.10668523336631365,0.09035386663735083,0.1315548389460955
21,CLEAN_60,WER,184,0.14491691104594331,0.19589442815249267,0.20004887585532746,0.20205278592375367,0.15469208211143695,0.16578690127077225,0.16192570869990225,0.17688172043010753,0.24164222873900293,0.21456500488758554,0.283088954056696
22,CLEAN_50,CER,170,0.05242649663478569,0.07870081962206994,0.07989788315194156,0.07925049165109263,0.05727582542416358,0.0625160321008465,0.060207409578951224,0.06638816617196185,0.09842793799699513,0.0850525852907765,0.12552066156082425
23,CLEAN_50,WER,170,0.14193548387096774,0.18958944281524925,0.19310850439882699,0.19359726295210167,0.15347018572825025,0.16529814271749754,0.16202346041055718,0.1719941348973607,0.2277126099706745,0.2027859237536657,0.2667644183773216
24,CLEAN_50,CER,171,0.05249978623865538,0.07870081962206994,0.08060634932268192,0.07928713645302747,0.057043741678576225,0.061978575005802096,0.06050056799442999,0.06618051229433104,0.09815920944947293,0.08467392233744976,0.12552066156082425
25,CLEAN_50,WER,171,0.14115347018572824,0.18949169110459432,0.193841642228739,0.19286412512218964,0.15205278592375365,0.16221896383186707,0.16119257086999023,0.17165200391006843,0.22717497556207233,0.20166177908113392,0.26945259042033237
26,CLEAN_50,CER,172,0.05263415051241648,0.07773583983778568,0.07859088521626541,0.07909169750937496,0.056652863791271206,0.06174649126021474,0.060182979710994663,0.06563084026530837,0.09782940623205931,0.08442962365788413,0.12553287649480255
27,CLEAN_50,WER,172,0.14139784946236558,0.1889051808406647,0.18963831867057673,0.19437927663734114,0.15019550342130988,0.16309872922776147,0.16055718475073313,0.1705767350928641,0.2275171065493646,0.20122189638318672,0.27038123167155426
28,CLEAN_40,CER,143,0.05204783368145895,0.07528063810815103,0.0772472424786544,0.07580588026921714,0.05567566907300866,0.05904699085101445,0.05882712203940538,0.06421390792382767,0.09262584435731125,0.07949479033065826,0.12023159514822822
29,CLEAN_40,WER,143,0.14076246334310852,0.18592375366568914,0.18978494623655914,0.1856793743890518,0.15112414467253177,0.15811339198435972,0.15747800586510263,0.16896383186705768,0.21915933528836753,0.19418377321603128,0.2603616813294233
